,description,Predicted_class
0,"""The system shall refresh the display every 60 seconds.
",Functional (F)
1,"""The application shall match the color of the schema set forth by Department of Homeland Security
",Security (SE)
2," If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event
",Look & Feel (LF)
3,""" The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
",Functional (F)
4,""" If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
",Functional (F)
5,"""The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts
",Functional (F)
6,"The product shall be intuitive and self-explanatory.  
",Security (SE)
7,"""The product shall respond fast to keep up-to-date data in the display.
",Functional (F)
8,"""The system shall have a MDI form that allows for the viewing of the graph and the data table.
",Look & Feel (LF)
9,"""The system shall display Events in a vertical table by time.
",Look & Feel (LF)
10,"""The system shall display the Events in a graph by time.
",Look & Feel (LF)
